key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,trials_loop.ran,objects,study_objects,sounds1,sounds2,object_location_x,object_location_y,study_location_x,study_location_y,calc,dist1,dist2,dist3,dist4,dist5,dist6,dist1_location_x,dist2_location_x,dist3_location_x,dist4_location_x,dist5_location_x,dist6_location_x,dist1_location_y,dist2_location_y,dist3_location_y,dist4_location_y,dist5_location_y,dist6_location_y,participant,session,date,expName,psychopyVersion,OS,frameRate,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,degree_difference,accuracy,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_prac2.thisRepN,trials_prac2.thisTrialN,trials_prac2.thisN,trials_prac2.thisIndex,trials_prac2.ran
,,,,,,,,,,,,,,0,10,10,10,1,objects/3couch7.png,objects/1chesshorse3.png,sounds/42.wav,sounds/38.wav,0.28002,0.28564,-0.31202,0.25028,17 +  8,distractors/3motorcycle1.png,distractors/1computermouse11.png,distractors/1scrunchie3.png,distractors/1donut9.png,distractors/1armyguy4.png,distractors/1cellphone8.png,-0.39047,-0.24269,-0.19594,0.28222,-0.043668,0.20503,0.29553,0.39889,0.069651,0.29316,-0.10719,0.30927,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,11,11,11,1,objects/3manken8.png,objects/1flask2.png,sounds/44.wav,sounds/38.wav,0.25644,0.30699,0.35531,-0.18372,17 + 10,distractors/3elephant10.png,distractors/1watch10.png,distractors/1lipstick12.png,distractors/1armyguy6.png,distractors/1butterfly5.png,distractors/1giftbow12.png,0.15509,-0.32927,0.019245,-0.071374,0.30592,-0.085104,0.23568,0.33982,0.34699,0.19135,0.39157,0.024487,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,12,12,12,1,objects/1christmastreeornamantball7.png,objects/1giftbow1.png,sounds/13.wav,sounds/28.wav,0.23124,0.32639,0.11754,-0.38234, 8 x 14,distractors/1giftbow9.png,distractors/3tricycle8.png,distractors/3helicopter3.png,distractors/1watch3.png,distractors/1glove2.png,distractors/3drumset9.png,-0.015748,-0.33702,0.15509,-0.38719,-0.37922,0.11559,0.39678,0.38393,-0.093633,0.1567,0.37977,0.36871,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,13,13,13,1,objects/2turtle8.png,objects/1pencilsharpener2.png,sounds/17.wav,sounds/35.wav,0.20457,0.34373,-0.29115,-0.27428,12 - 17,distractors/1cookie9.png,distractors/1computermouse2.png,distractors/2radio3.png,distractors/126376346.thl.png,distractors/1bowtie3.png,distractors/1pencilsharpener10.png,-0.38889,0.088521,0.026234,-0.35456,-0.31258,-0.091931,0.059287,-0.024487,0.37751,0.30927,0.10381,0.18206,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,14,14,14,1,objects/3gardenswing9.png,objects/3garbagecan8.png,sounds/17.wav,sounds/32.wav,0.17662,0.3589,0.37993,-0.12512,18 x 13,distractors/1scrunchie3.png,distractors/1lock7.png,distractors/3motorcycle5.png,distractors/1key3.png,distractors/3gardenswing7.png,distractors/1key4.png,-0.25905,-0.39326,0.16152,-0.20202,-0.39047,0.26696,0.39294,0.16631,0.3849,0.38393,0.39008,0.36306,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,15,15,15,1,objects/2radio8.png,objects/126375702.png,sounds/9.wav,sounds/12.wav,0.14755,0.37179,0.17662,-0.3589,19 + 12,distractors/1butterfly11.png,distractors/3tent10.png,distractors/3gardenswing3.png,distractors/1glove4.png,distractors/3motorcycle3.png,distractors/1scrunchie2.png,0.21101,0.28222,-0.39998,-0.33319,-0.39925,-0.38138,0.3999,0.35042,0.34346,0.37865,0.0070004,0.22999,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,16,16,16,1,objects/1lipstick6.png,objects/1nailpolish2.png,sounds/35.wav,sounds/10.wav,0.11754,0.38234,-0.19075,-0.35159,14 -  7,distractors/1butterfly12.png,distractors/1cellphone1.png,distractors/3vacuumcleaner6.png,distractors/1cookie9.png,distractors/1lipstick10.png,distractors/1legoman6.png,0.31475,0.37071,0.19289,0.040186,-0.39193,0.047145,0.3521,0.13388,0.23284,0.26038,0.059287,0.041927,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,17,17,17,1,objects/1compass4.png,objects/2robot8.png,sounds/31.wav,sounds/50.wav,0.086792,0.39047,-0.3846,-0.10992, 5 x 10,distractors/3helicopter8.png,distractors/1lipstick12.png,distractors/1giftbow5.png,distractors/3gardenswing9.png,distractors/2radio11.png,distractors/1lipstick12.png,0.31038,0.36232,-0.31258,-0.39876,0.21101,-0.39558,0.34699,0.28592,-0.0035003,0.066201,0.30704,-0.066201,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,18,18,18,1,objects/1leaves9.png,objects/1cookie2.png,sounds/15.wav,sounds/12.wav,0.055494,0.39613,0.36879,-0.15491,14 - 15,distractors/1pencilsharpener7.png,distractors/1scrunchie3.png,distractors/1butterfly9.png,distractors/1seashell9.png,distractors/3tricycle6.png,distractors/2turtle8.png,0.25637,-0.36938,0.2617,-0.39193,-0.0087503,0.35292,0.39981,0.36871,0.27341,0.19442,0.097033,0.15024,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,-0.289635417,0.283159722,1,0,0,1,1,0,0,0,0,1,,,,,
